name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,2,7,5,4,54,58,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,2,8,1,9,61,70,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,2,9,3,7,76,83,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,2,10,3,9,83,92,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,1,4,9,9,18,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,2,1,6,18,24,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,3,2,9,24,33,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,4,1,5,33,38,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,5,5,7,39,46,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,6,5,2,46,48,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
